  #Magnitude          Freq      Cum_Freq
           0       4180469       4180469
           1             0       4180469
           2             0       4180469
           3             0       4180469
           4             0       4180469
           5             0       4180469
           6             0       4180469
           7             0       4180469
           8             0       4180469
           9             0       4180469
          10             0       4180469
          11             0       4180469
          12             0       4180469
          13             0       4180469
          14             0       4180469
          15             0       4180469
          16             0       4180469
          17             0       4180469
          18             0       4180469
          19             0       4180469
          20             0       4180469
          21             0       4180469
          22             0       4180469
          23             0       4180469
          24             0       4180469
          25             0       4180469
          26             0       4180469
          27             0       4180469
          28             0       4180469
          29             0       4180469
          30             0       4180469
          31             0       4180469
          32             0       4180469
          33             0       4180469
          34             0       4180469
          35             0       4180469
          36             0       4180469
          37             0       4180469
          38             0       4180469
          39             0       4180469
          40             0       4180469
          41             0       4180469
          42             0       4180469
          43             0       4180469
          44             0       4180469
          45             0       4180469
          46             0       4180469
          47             0       4180469
          48             0       4180469
          49             0       4180469
          50             0       4180469
          51             0       4180469
          52             0       4180469
          53             0       4180469
          54             0       4180469
          55             0       4180469
          56             0       4180469
          57             0       4180469
          58             0       4180469
          59             0       4180469
          60             0       4180469
          61             0       4180469
          62             0       4180469
          63             0       4180469
          64             0       4180469
          65             0       4180469
          66             0       4180469
          67             0       4180469
          68             0       4180469
          69             0       4180469
          70             0       4180469
          71             0       4180469
          72             0       4180469
          73             0       4180469
          74             0       4180469
          75             0       4180469
          76             0       4180469
          77             0       4180469
          78             0       4180469
          79             0       4180469
          80             0       4180469
          81             0       4180469
          82             0       4180469
          83             0       4180469
          84             0       4180469
          85             0       4180469
          86             0       4180469
          87             0       4180469
          88             0       4180469
          89             0       4180469
          90             0       4180469
          91             0       4180469
          92             0       4180469
          93             0       4180469
          94             0       4180469
          95             0       4180469
          96             0       4180469
          97             0       4180469
          98             0       4180469
          99             0       4180469
         100             0       4180469
         101             0       4180469
         102             0       4180469
         103             0       4180469
         104             0       4180469
         105             0       4180469
         106             0       4180469
         107             0       4180469
         108             0       4180469
         109             0       4180469
         110             0       4180469
         111             0       4180469
         112             0       4180469
         113             0       4180469
         114             0       4180469
         115             0       4180469
         116             0       4180469
         117             0       4180469
         118             0       4180469
         119             0       4180469
         120             0       4180469
         121             0       4180469
         122             0       4180469
         123             0       4180469
         124             0       4180469
         125             0       4180469
         126             0       4180469
         127             0       4180469
         128             0       4180469
         129             0       4180469
         130             0       4180469
         131             0       4180469
         132             0       4180469
         133             0       4180469
         134             0       4180469
         135             0       4180469
         136             0       4180469
         137             0       4180469
         138             0       4180469
         139             0       4180469
         140             0       4180469
         141             0       4180469
         142             0       4180469
         143             0       4180469
         144             0       4180469
         145             0       4180469
         146             0       4180469
         147             0       4180469
         148             0       4180469
         149             0       4180469
         150             0       4180469
         151             0       4180469
         152             0       4180469
         153             0       4180469
         154             0       4180469
         155             0       4180469
         156             0       4180469
         157             0       4180469
         158             0       4180469
         159             0       4180469
         160             0       4180469
         161             0       4180469
         162             0       4180469
         163             0       4180469
         164             0       4180469
         165             0       4180469
         166             0       4180469
         167             0       4180469
         168             0       4180469
         169             0       4180469
         170             0       4180469
         171             0       4180469
         172             0       4180469
         173             0       4180469
         174             0       4180469
         175             0       4180469
         176             0       4180469
         177             0       4180469
         178             0       4180469
         179             0       4180469
         180             0       4180469
         181             0       4180469
         182             0       4180469
         183             0       4180469
         184             0       4180469
         185             0       4180469
         186             0       4180469
         187             0       4180469
         188             0       4180469
         189             0       4180469
         190             0       4180469
         191             0       4180469
         192             0       4180469
         193             0       4180469
         194             0       4180469
         195             0       4180469
         196             0       4180469
         197             0       4180469
         198             0       4180469
         199             0       4180469
         200             0       4180469
         201             0       4180469
         202             0       4180469
         203             0       4180469
         204             0       4180469
         205             0       4180469
